,text,sentiment
3646,after the takeover of the lotos group by pkn orlen the participation of the treasury in a combine entity will increase to about percent,2
3647,the general meeting of pkn orlen and the lotos group on the merger of both concern will take place in july and the merger will be register and finalize in august orlen inform in the presentation for investor,2
3648,pkn orlen and lotos agree and sign a connection plan that will take place by transfer lotos group property to pkn orlen in exchange for lotos the shareholder of this company will receive pkn orlen share the company inform in the announcement,2
3649,pkn orlen the management board approve the plan to merge orlen with loto by transfer all the lotos group asset to orlen in exchange for action pap,2
3650,pkn orlen and loto approve the merger plan and determine that in exchange for lotos share the shareholder of this company will receive pkn orlen share pkn inform in the communiqu,2
3654,this be an economically beneficial transaction for poland it will make we build a strong energy concern that will contribute to strengthen our role in central and eastern europe say prime minister mateusz morawiecki when ask at interia pl about the sale of a part of the hungarian lotos to mol,2
3655,although we be aware of hungarian addiction to raw material from the east we do not find an excuse in this we do not accept the policy of prime minister viktor orban towards russia and we talk about it loudly say deputy prime minister minister of state asset jacek sasin on tuesday,2
3656,i be convinced that if the merger of pkn orlen and the lotos group take place then poland will be in a well position than many of our direct competitor say prime minister mateusz morawiecki on saturday,3
3657,if the merger of pkn orlen and the lotos group take place then poland will be in a well position than many of our direct competitor assure prime minister mateusz morawiecki,3
3658,i be convinced that if the merger of pkn orlen and the lotos group take place then poland will be in a well position than many our direct competitor say prime minister mateusz morawiecki,3
3659,fuel company such as orlen and loto must develop modern petrochemia alternative fuel technology as well as low and zero emission energy production source and although orlen and loto be already do this act together they be able to achieve more the author of the warsaw enterprise institute wei report believe,2
3660,we do not want to sell a lotus station but the ec would not agree to the connection of orlen and lotos prime minister mateusz morawiecki say on thursday during a visit to michalina as he assess without this connection the purchasing power of the polish fuel concern would be small and the price of fuel higher,2
3661,former minister of industry and trade as well as the minister of the economy in a common letter oppose the merger of the lotos group with the orlen group in their opinion such a process be grossly contrary to the polish reason which dictate the need to preserve and strengthen energy security without political risk president of orlen daniel obajtek defend the idea of a merger such process strengthen our state and strengthen our economy someone who do not understand this should not be in business and even more so he should not be in politic he say,1
3662,when lotos privatization project appear and some offer be relate to russian interest i decide to block it i be the prime minister for seven year and we do not sell the russians or a centimeter of energy company say the leader of po donald tusk on wednesday,2
3663,there be various privatization attempt during the po psl rule but ultimately no privatization occur say mp of the civic coalition ask about the document disclose by rmf it be now sell a lotus part of dubious foreign entity they add,2
3664,falacce the note of the then treasury minister aleksander grad indicate that the government of donald tusk assume a complete control over the lotos refinery in gdask accord to the statement of the president of pkn orlen daniel daniel obajtek cite in a comment send in the commentary,1
3665,the embargo for russian oil and gas be prompt by pgnig loto and orlen to develop its own extraction for example pgnig this year will increase gas extraction to billion cubic meter company be wait for a fusion thank to which a strong entity will be create which will also translate into an increase in mining,3
3667,the management board of the lotos group adopt a resolution on the recommendation to the ordinary general meeting of the net down of grupa lotos sa in for the supply of spare capital in order to secure the company s financial liquidity lotos say in a message,1
3669,the unimot group begin reorganization aim at prepare the group s structure to take over new asset as a result of the plan acquisition of percent lotos terminale share the company say in a statement the management board expect positive financial effect for the group in the next several month,2
3671,e petrol pl forecast show that on saturday pkn orlen and grupa lotos will change their wholesale price list for gasoline increase be expect and for diesel oil there be a chance for further correction down,2
3673,the model refine margin of the lotos group in april increase to usd bbl from usd bbl in march the company inform on its website,3
3674,the may revision of the bnp paribas bm analytics portfolio bring quite a lot of change among which the big be the limitation of exposure to the banking sector replacement for bank,2
3675,in the face of war in ukraine as well as the need to diversify the supply of raw material the fast to finalize the merger of pkn orlen with the lotos group and the takeover of pgnig be the polish raison d etat say on thursday a member of the board of pkn orlen for financial for financial jan szewczak,2
3676,since pkn orlen have be try to take over loto the merger project at this stage be delay several week everything indicate that the await consent of the european commission will be obtain in the second half of may jan szewczak argue that this be the polish raison d etat in the face of war the opposition have a different opinion and want to block the transaction,1
3677,on thursday the senate adopt a draft amendment to the law regard the principle of manage state property which aim be among other block the fusion of orlen and lotos accord to the resolution of the senate the project will now go to the sejm,1
3679,pkn orlen be expect a decision of the european commission regard the approval of the remedy at the merger of orlen with the lotos group in the second half of may say robert leszyski director of the orlen capital investment office the parity of the exchange of orlen and lotos share will be present at the beginning of june,2
3680,the second part of the refinery renovation stop and the dynamic increase in the price of raw material and oil product cause by the war in ukraine these factor be the most affect by the result,2
3681,the purified ebitda lifo group lotos in the first quarter of amount to pln billion in accordance with the estimate previously give by the company lotos inform in a statement a year early the group s ebitda lifo be pln million,2
3683,below be the operational result of the lotos group in the first quarter of include division of business segment,2
3685,we be at the end of the takeover of the lotos group we want to end the fusion from pgnig in the third quarter of this year after this strengthen the concern will have about billion revenue a year say daniel obajtek on monday on the radio from wilia,3
3687,this week friday promise to be the most interesting when investor first learn the initial calculation of cpi inflation in april and in the evening a report on the polish rating review should be publish by the moody s agency as part of the starting season of the result for the first quarter report will be publish by several company from wig orange polska santander bp lotos pkn orlen and pekao the consequence of the publication last week well than the expectation of makro datum for march be the economy raise the estimate of the gdp growth rate in the first quarter of to percent yard,2
3690,grupa lotos estimate that its purified ebitda lifo in the first quarter of amount to pln billion and the net profit be at the level of pln billion the company say in a statement regard preliminary financial datum estimate consolidated sale revenue at that time amount to pln billion,2
3692,in the negotiation of pkn orlen and the lotos group with the social party the initial content of the provision of the agreement be establish which include a month period of employment guarantee lotos say in a communiqu,2
3694,thank to the improvement of mood at the end of the stock market session in warsaw wig end with a slight increase for several day the index have be around thousand point on wednesday an increase of percent lotos share stand out note at a closing of at most for two year,3
3695,with weak mood on european market wig score a slight growth which do not change anything in the system of strength loto increase in the eighth session in a row establish new over the past,3
3696,depend on how oil price on the market fluctuate the price of fuel will change the same although the price of oil since russia s aggression to ukraine be at a similar level and the price of fuel increase so it be also puzzle pawe olechnowicz former president of lotos say in the conversation at noon at rmf fm,2
3697,pawe olechnowicz a former president of lotos will be a guest of krzysztof berenda at noon in rmf fm we will talk to our guest about whether the big price increase at gas station be already behind we whether the world be able to function without russian oil and whether poland should revise the sale of a hungarian lotos to mol,2
3698,he spend the tuesday session wig in a side trend and the speed on the stock market slightly exceed pln billion another weak session of the banking sector be partly balance by increase in the fuel sector after which the lotos share price record the annual maximum,3
3699,the lotus course be grow the fifth session in a row and rise to over two year old mak in april investor may learn the parity of the exchange of lotos for orlen share,3
3700,production in the lotos group increase in march by percent yard up to thousand ton and throughout the first quarter it increase by percent and it amount to million ton loto inform on his website the processing of crude oil remain at the same level of yard in march and amount to thousand tone,3
3702,grupa lotos enlarge the scale of project relate to oil and gas extraction inform rzeczpospolita,3
3703,the lotos group model refinery margin in march increase to usd bbl from usd bbl in february the company inform on its website,3
3704,thursday bring decline on the warsaw stock exchange wig drop wig weaken and mwig end under the line this time small company show relative force whose index close in a small plus only two company slightly increase among the blue chip pkn orlen and lotos,1
3705,orlen and loto will have to find new oil supplier this will involve a departure from some contract their ending or non existence renegotiation it will have to cost say piotr naimski s strategic energy infrastructure on wednesday,1
3706,grupa lotos plan to increase investment outlay in to a close pln billion from pln billion in say lotos financial director ukasz min,3
3707,grupa lotos be ready to give up the supply of oil from the russian direction on the spot market say lotos vice president krzysztof nowicki,2
3708,despite the variable macroeconomic environment cause by the pandemic of the lts capital group loto the balance discipline be maintain and high cash flow with,3
3709,below be the operational result of the lotos group in include business segment,2
3710,the purified ebitda lifo group lotos in the fourth quarter of amount to pln billion against pln billion in the result previously estimate by the company lotos inform in a statement a year early the group s lifo be pln million,2
3711,the purified ebitda lifo group lotos in the fourth quarter of amount to pln billion which mean an increase in yield by percent include the result of the ebitda of the mining segment reach pln billion and the production and trade segment pln billion inform the company in a presentation for the result,3
3712,ebitda lifo lotos group in the fourth quarter of amount to pln billion compare to pln billion in the result previously estimate by the company lotos inform in a statement a year early the group s lifo be pln million,3
3714,only large player count on the global market this will be the orlen group after merge with the lotos group what be more one strong concern will significantly strengthen national energy security the participant of the fuel and fusion debate which he have at the pap press center agree the event s partner be pkn orlen and warsaw enterprise institute,3
3715,the ambition of poland be a departure from the purchase of energy resource from russia regardless of any sanction say deputy prime minister and minister of state asset jacek sasin in his opinion it will be easy after the creation of a multiener genergy group base on pkn orlen pgnig grupa loto and energi,2
3716,the operator of the gas storage system after turn off gas storage poland from a connected entity base on orlen pgng and loto will remain an independent entity but polish say deputy prime minister and minister of state asset jacek sasin,2
3717,the state treasury prefer the non accessory form of the pkn orlen connection transaction with pgnig and after the creation of a combine entity base on orlen pgnig and loto the state treasury want to share in it at a level close to percent deputy prime minister and minister of state asset jacek sasin inform on wednesday,3
3718,president of pkn orlen daniel obajtek declare that the company would like to take over the lotos group at the turn of june and july he also announce the acceleration of work on the connection with pgnig,2
3719,the senate do not adopt a resolution on friday in which he intend to appeal to the government to withdraw from the fragmentation and sale of loto for this decision senator on twitter thank the president of pkn orlen daniel obajtek,2
3720,the senate do not adopt a resolution on friday in which he intend to appeal to the government to withdraw from the fragmentation and sale of lotos,2
3721,from the beginning of the conflict in the east the company do not take any action to maximize the margin achieve in the transformation of crude oil loto say on wednesday evening,2
3722,since the beginning of march refinery margin have increase to record level but pkn orlen and grupa loto have not yet react to it sufficiently believe trigon dm analyst micha kozak,2
3723,on wednesday the second part of the refinery renovation stop in gdask will start this time out of installation will be detain and the renovation stop will last over two month lotos say in a communiqu as add the work will not affect the group s trade obligation,1
3725,the model refine margin of the lotos group in february increase to usd bbl from usd bbl in january the company inform on its website,3
3726,price at many gas station be high than yesterday in the evening some station raise price up to pln per liter of ordinary gas these station have already be punish accord to our journalist krzysztof berenda fuel company break off contract for delivery as pkn orlen grupa lotos and pern poland assure be protect against unforeseen situation in the area of oil and fuel,1
3727,poland be protect against unforeseen situation in the area of oil and fuel pkn orlen grupa lotos and pern company assure that poland be secure in the event of a lack of oil supply from the east their message be a response to long queue of car at gas station in almost all of poland especially in the east of the country pkn orlen calm down and ensure that all station be secure and fuel will not be miss,3
3728,grupa lotos will start a renovation stop on the refinery on march the company say in a press release estimate direct cost relate to the post that will reduce the consolidated operational result for be about pln billion,1
3730,lt lotos present estimate consolidated operational result for the fourth quarter of the company s sale revenue be to amount to pln billion during this period and the purified ebitda lifo,2
3731,grupa lotos initially estimate that its consolidated clean ebitda lifo amount to pln billion in the fourth quarter and revenue reach pln billion the company inform in a statement,2
3733,local government official expert and politician of the civic coalition take the floor during the thursday special session of the gdask city council about the takeover of lotos by pkn orlen the invite president of orlen daniel obajtek do not appear at the session,2
3734,capital group do not want to determine in each company separate rule for reporting violation by employee by the way they try to maintain control over such signal and limit responsibility for hinder application say thursday dziennik gazeta prawna,2
3735,loto workplace will be maintain and taxis in the same dimension will be pay to the budget of gdask assure the president of pkn orlen daniel obajtek on tuesday refer to the fear of gdask councilor regard the takeover of loto by orlen,3
3737,the purpose of the merger of pkn orlen with lotos be to build an integrate multienerite group it be not true that lotos be liquidate say the pock concern he add that the transaction be financially beneficial and economic argument speak for it,3
3738,business center club send an application to the supreme audit office for control the condition for the takeover of lotos by orlen and the plan sale of some of lotos asset include saudi aramco bcc say on monday accord to the organization the transaction have no any economic argument,2
3739,the lotos group model refinery margin in january increase to usd bbl from usd bbl in december the company say on its website,3
3741,grupa loto and representative of trade union be currently conduct talk regard the average monthly salary in the group say adam kasprzyk spokesman for the lotos group on twitter,2
3744,pkn orlen maintain the dividend policy record in the strategy until despite the merger of the lotos group plan for this year say the member of the board of pkn orlen jan szewczak the management of the management board regard the distribution of profit for will be in march,2
3745,the propose parity of the exchange of pkn orlen and grupa lotos should be know in april and in june the shareholder of both concern will vote over it say robert leszyski director of the merbal department and acquisition of pkn orlen,2
3746,lotos kolej in do a record high transport work due to increase transport for client outside the lotos capital group the company inform in a press release transport work reach almost billion toncillator by percent more than in,3
3749,the russians be nowhere to be hide assured president of orlen daniel obajtek comment on the sale contract for part of lotos the more often he talk about the russians the more pro russian policy he conduct he add,2
3750,pawe majewski president of pgnig and former president of lotos will be the guest of marek tejchaman in the afternoon conversation of rmf fm,2
3752,as a result of the annual concession round apa lotos exploration and production norge as lotos norge receive new search and issue concession norwegian government,3
3753,as a result of the annual concession round apa lotos exploration and production norge as receive four new search and conservative concession after their adoption the lotos norge portfolio in norway will increase to concession loto inform in a press release,3
3754,pgnig obtain four new concession area for development on a norwegian continental shelf out of three of the four newly acquire pgnig license it will serve as an operator the company inform in a press release in one of the concession the minority share be receive by the lotos group,3
3755,this be a matter of june the turn of june and july we believe that this process must take place quickly so that we can act with our partner very quickly answer daniel obajtek who be a guest of krzysztof ziemc in rmf fm when the orlen will take over loto and when the mol enter the polish market as the president of pkn orlen add today they require pace and action,2
3756,complete the condition of the european commission regard the merger of pkn orlen with lotos do not mean getting rid of strategic asset say deputy prime minister and minister of state asset jacek sasin on thursday evening,2
3757,the hungarian group mol immediately after take over fuel station from the lotos group change they into their own brand find out the portal wirtualnemedia pl lotos be a very good brand but orlen do not intend to sell it to we say peter ratatics vice president of the mol group orlen do not reveal which other lotos station will operate under the banner and whether the brand will continue to sponsor among other representation of ski player and jumper,2
3758,after two demand session thursday bring cool mood on the warsaw stock exchange a quiet trade day be lead by index in the area yesterday s closure or slightly below,1
3759,the financial condition present by pkn orlen when sell some of the lotos group asset have fail especially in the refinery segment analyst assess in their opinion lotos shareholder will not be guide by the decision to consent to the parity of the exchange of action with orlen expect it to be high,2
3760,share in lotos refinery will be include in saudi aramco part of the lotus station will buy mole and the logistic of fuel unimot informs pkn orlen,2
3761,for completely political reason the decision be make today that one of the polish company loto will cease to exist such action under the guise of implement the construction of a great polish company be really favorable for russian interest ko mps tomasz siemoniak and pawe kowal say on wednesday,1
3762,the hungarian mol will buy for approx million plus a variable part of the lotos group with fuel station in the country saudi aramco share in the lotos asfalt refinery company for approx pln billion and unimot lotos group fuel base this be the implementation of the requirement on which the european commission make consent to the takeover of loto by orlen,1
3764,pkn orlen expect to finalize the merger with the lotos group at the turn of june and july say president orlen daniel obajtek,3
3765,the hungarian naftowy mol group will take over lotos gas station the saudi giant saudy aramco will buy percent of the gdask refinery orlen announce the condition for take over a lotus,1
3766,the merger of orlen and loto and the entry to the polish market of the new hungarian naftowo gazownicza company accord to expert this be good information for driver change on the fuel market will affect price,3
3767,in order to implement remedy in the area of the fuel logistic market and the asphalt market the lotos group conclude preliminary contract with unimot investment the company say in communication agreement include among other source percent action at loto terminal the estimate involvement of unimot in the transaction will amount to at least pln million,2
3768,pkn orlen choose saudi arabian oil company as a partner for refinery and wholesale asset as well as aerial fuel in connection with the plan merger with the lotos group orlen inform in a communiqu price for percent share in lotos asphalt be to amount to approx pln billion and a variable element depend among other from the amount of debt and the sale price of share in the lotos spv wholesale company approx pln billion and a variable element,2
3769,unimot investment a company from the ut group unimot conclude a preliminary purchase agreement action of loto terminal cover the business of an independent logistic operator and,2
3770,the hungarian mol will take over lotos petrol station in poland for usd million and pkn orlen station from the mol group portfolio in hungary and slovakia in order to implement remedy the company report in the announcement accord to the sign agreement the mol group become a partner of pkn orlen in the retail segment until now pkn orlen be not present on the retail hungarian market,1
3771,in order to implement remedy in the biofuel market area a preliminary sale agreement be conclude in the lotos takeover process share in lotos biofuel for rossi biofuel pkn orlen say in a press release,2
3772,pkn orlen choose saudi arabian oil company as a partner for refinery and wholesale asset as well as aerial fuel in connection with the plan merger with the lotos group orlen inform in a communiqu,2
3774,eighteen month after the conditional decision of the european commission on the merger of pkn orlen with lotos daniel obajtek present partner which will be sell to separate asset of the gdask company,2
3775,the hungarian mol will take over lotos petrol station in poland for usd million and pkn orlen station from the mol group portfolio in hungary and slovakia in order to implement remedy the company report in the announcement,2
3776,profit from the combination of orlen and lotos will be much high than the loss cause by sale the decision of the ec the share of lotos e g part of gas station assess the head of map jacek sasin when ask when and to whom the lotos asset would go he reply that it would be give in the come day,3
3777,until january pkn orlen be to provide the ec document relate to the takeover of lotos include a contract for the sale of asset indicate by the commission speculation about potential investor appear in the medium,2
3782,negotiation with partner for remedy in connection with the takeover of the lotos group by pkn orlen have not be finalize which be why media report on the choice of potential partner be only speculation say pkn orlen in a sunday statement,2
3783,the hungarian mol be tip to take over a part of the fuel station belong to the gdask lotos group this be relate to the plan great merger with orlen janusz kowalski mp of the united right raise clear opposition to such privatization he claim that the task no be to defend the state s asset against hostile acquisition,1
3784,for a long time there have be talk of a great merger of two state fuel group however pkn orlen and loto still operate separately the fusion finalization will only be possible after sell a lotus part of business the late report indicate that the two great world player be in the game and the day divide we from the resolution of the case,2
3785,the model refine margin of the lotos group in december drop to usd bbl from usd bbl on baryka in november the company say on its website,1
3786,pkn orlen lotos and energa sign an annex to the letter of intent regard the analysis of the possibility and possible condition for the implementation of a joint investment in the construction of a gas and steam power plant in gdask the company say in communication accord to the annex the letter of intent bind the party until the relevant contract be conclude but not later than until december,3
3787,representative of nszz solidarno as well as the board of pkn orlen lotos and pgnig have sign a social agreement relate to the consolidation of company,2
3788,trigon dm analyst in the december report issue the buy recommendation for the lotos group with a target price of pln per share and hold recommendation for pkn orlen with a valuation of pln per share,3
3791,the model refine margin of the lotos group in november fall to usd on baryka from usd bbl in october the company inform on its website,1
3793,in the case of the fusion of pkn orlen with the lotos group everything be possible because decision also lie on the side of potential partner say president orlen daniel obajtek he add that orlen talk to more than two partner,2
3798,the finalization of the fusion of pkn orlen with the lotos group be expect until the end of the first half of deputy prime minister and minister of state asset jacek sasin inform pap,2
3799,the government will introduce restrict margin impose on fuel by gas station and refinery inform rmf fm orlen and lotos action immediately become cheap,1
3800,pkn orlen announce on friday that he receive the consent of the european commission to extend the deadline for the implementation of remedy by january which be oblige to implement in connection with the plan takeover of control over the lotos group,2
3802,it be approach november i e the date set by the european commission for the implementation of remedy by pkn orlen as part of the takeover of the lotos group redempte the asset of the gdask refinery may have its far reach consequence,2
3803,fuel price at the station have increase again for the last week although over the last day price change be small analyst assess they indicate among other that the big player orlen and lotos exert pressure on the maintenance of price,2
3804,zloty compensation for unjustified detention in january will be award to the former president of the lotos group pawe olechnowicz the court of appeal in gdask rule on friday the verdict be final,1
3806,rd quarter of this year he confirm the very good condition of the gdask plant which in the discuss period work with full use of its processing power lts lotos group flexibly,2
3807,this be a good time for our state fuel concern loto like pkn orlen before multiply sale and profit after nine month he have almost pln billion in revenue every tenth zloty be pure profit,2
3808,the net profit of the lotos group in the third quarter of amount to pln million and be consistent with previous estimate give by the company lotos inform in a statement a year early the group s net profit be pln million,3
3810,the launch of production from the deposit on the norwegian continental shelf be one of the key investment project of the gdask concern its implementation will contribute to significant growth,3
3812,the initial result of the lotos group for the third quarter be similar to expectation and can be assess positively analyst believe in their opinion the refinery segment surprise a plus while mine slightly disappointed lotos result can also translate into a valuation of pkn orlen,3
3813,the pis president be a supporter of the merger of two fuel concern he claim that this may translate into a reduction in gasoline price at station,2
3814,the extraordinary general meeting of the lts group lotos grant consent to the reorganization change propose by the company s management board as part of the lotos capital group adopt on october this year,1
3815,the vast majority of lotos owner give green light for business reorganization within the group this bring we close to the great merger with orlen president daniel obajtek indicate that the resolution adopt today be proof that investor believe in the success of the project,3
3816,the general meeting of the lotos group agree to the sale of the organized part of the lotos group enterprise to loto asfalt by bring refinery asset in the form of a non cash contribution and in exchange for new share in the elevated share capital of loto asphalt the leader inform,2
3817,the shareholder of the lotos group have just give the formal consent to the acquisition of the company by orlen this make the fusion of this company with orlen be get close,3
3818,nationale nederlanden an open pension fund a shareholder of grupa lotos submit proposal for change in draft resolution in the agenda of the nwz convene on october regard the sale of asset grupa loto say in a statement proposal for change the content of the resolution assume consent to the sale of asset provide that the lotos group with pkn orlen be merge,2
3819,norge bank will vote for the separation of the gdask refinery which increase the chance of the state treasury s success on the lotos and as a consequence bring the fuel megaphu close write wednesday s pul biznesu,2
3820,dm bo analyst in the report of october raise the target price of loto to pln from pln early maintain the recommendation at the buy level,3
3821,span bring to the position of garbage this be how the former president of the lotos fuel group pawe olechnowicz comment in an interview with rmf fm his detention by the cba he also refer to the allegation he hear in the prosecutor s office with a businessman who be the long incur head of a state own company in poland for year he manage the lotos group we meet on the occasion of the book he write,1
3822,among other giant from hungary and saudi arabia may be interested in take over some of the business of orlen and loto soon we should know the specific it will be an important step towards the finalization of the merger of the two large polish concern,2
3823,in november orlen be to announce a partner who will buy some of loto asset say pkn president orlen daniel obajtek this be a condition for the fuel fusion of giant,2
3824,in november we will announce a partner who will take over some of lotos asset which be a condition for the finalization of the merger of the large fuel concern in poland say pap president of pkn orlen daniel obajtek on wednesday,2
3825,we have specific partner on the sale or exchange of loto asset and we be conduct talk which i can assess at percent tell dziennik gazeta prawna president of pkn orlen daniel obajtek the claim that the merger with lotos would fail,2
3826,we look at poland as a strategic market at both european and global level we want to develop and strengthen our position here say micha ciszek president of circle k polska in an interview with wnp pl he confirm that the network be involve in the process of fusion of orlen and lotos as a result of which the owner must change station of the gdask concern,2
3827,until november we be to present a business partner in term of remedy in the merger process with lotos and we will present this partner say wnp pl daniel obajtek in the matter of take over pgnig and problematic issue of mining license the president of orlen emphasize that the process be complicated but be under control,2
3829,negotiation regard the choice of a partner when pkn orlen lotos take over percent say the president of the group daniel obajtek on thursday company representative ensure that they will meet the date of november appoint by the ec,3
3831,pgnig s takeover by pkn orlen will probably not take place in this process may end until mid report journalist deputy prime minister and minister of state asset jacek sasin,3
3832,the lotos group refinery process thousand in july ton of oil and the production exceed one million ton and amount to thousand ton loto say on twitter,2
3833,the lotos group refinery process thousand in july ton of oil and the production exceed one million ton and amount to thousand tone july be a month at maximum revolution the refinery work with a very high load one of the high in history write loto on twitter,2
3834,grupa lotos will start pilot the world s first ucopure filtration installation the company s press office say on tuesday in the future this solution be to contribute to increase the fuel efficiency of the concern,3
3836,loto have already reach the world s first installation of uco filter purification paraffin fraction hydrowax the pilot installation ucopure be to contribute to increase the effectiveness of the plant in the future the project be co finance by the national center for research and development and the european union,3
3837,nationale nederlanden ofe have increase his commitment to the lotos group and have share capital and the total number of vote for wz loto say in a communication,2
3838,lotos asphalt and budimex company have produce an odorless mineral and asphalt mix they plan to develop fragrant asphalt be this a fad,2
3840,in the second quarter of this year thank to the flexible management and use of market opportunity the concern generate pln billion of net profit these be the good result in the history of the lotos group say vice president jarosaw wrbel on a press conference on a press conference,3
3842,through the subsidiary petrobaltic grupa lotos want to exist strongly on the marine service market as the vice president of the company jarosaw wrbel admit the company be analyze this issue,3
3843,the spanish repsol receive permission to start mining in the yme field which be abandon year ago due to the unprofitability of extraction the field will restart in the second half of the year lotos have percent participation in mining,3
3844,grupa lotos do not expect a drastic deterioration of macro condition in say lotos vice president jarosaw wrbel,2
3845,investment expenditure of the lotos group in will reach about pln billion say the financial director of lotos ukasz min,2
3846,lotos return from hell to heaven the first half of close the loss of almost pln billion the balance sheet a year later be the opposite and even the state concern make up for the loss with a minimal relationship in a year there be a large increase in oil price and increase fuel consumption in poland,3
3847,the purified ebitda lifo group lotos in the second quarter of amount to pln million and be in line with previous estimate give by the company at that time the company generate pln billion of net profit and gdask refinery use percent of its capacity,2
3848,the lts lotos group successfully close the second quarter of thank to the flexible management of the achievement structure and sale direction and thank to the use of market occasion the concern,3
3849,the purified ebitda lifo group lotos in the second quarter of amount to pln million and be consistent with previous estimate give by the company lotos inform in a communiqu,2
3853,the august revision of the bm mbank recommendation cover only three company of which in two case the recommendation be raise to buy however the list of key positive recommendation be,2
3854,bm mbank in a monthly report of august increase the recommendation for loto to buy reduce for the azoty group to sell and issue a recommendation for answear buy,3
3855,on august the th tour de pologne uci world tour begin in lublin this be one of the large sporting event in poland among the partner of the event be state own company like energa pgnig loto and pzu the main sponsor be carrefour,2
3856,in july the model refine margin of the lotos group fall to on baryka from usd bbl in june the company inform on its website,1
3857,despite the relatively small number of company in the generali investment tfi portfolio the period between april and june bring a substantial number of change the manager give up far,2
3859,the procedure for search for a partner for a transaction that will finalize the takeover by pkn orlen,2
3860,additional time for the implementation of remedy when take over a lotus will allow you to choose the good,2
3861,the main national stock index manage to maintain morning increase until the end of wednesday s session in sectoral term bank lead head by santander who give the result for q after the estimate of the lotos result and before the six month report of orlen the fuel sector also prove to be strong,2
3863,grupa lotos publish estimate financial result for the second quarter of net profit exceed pln billion he help the effect of cheap layer of crude oil,2
3864,in the second quarter of grupa lotos have pln billion in consolidated sale revenue and pln billion in operating profit accord to lifo increase by depreciation and after disable disposable event purify ebitda lifo the company say on the basis of preliminary datum the estimate consolidated net result be pln billion,2
3865,grupa lotos estimate that its consolidated ebitda lifo result in the second quarter of amount to pln billion and the group s net profit reach pln billion the company inform in a statement,2
3866,the lotos group estimate that its consolidated ebitda lifo result be in the second quarter,2
3868,over the next four year the petrobaltic fleet be to increase by five specialized,3
3869,research work be underway to develop asphalt production technology which will contribute to reduction of atmospheric pollution in the road lane area activity in this area be a joint project of loto asphalt and the gdask university of technology,3
3870,loto competency center as part of the create multienergetic group a summary of the status,2
3871,grupa loto currently implement investment project different scale and size we will spend on they,2
3872,grupa lotos plan to spend about pln billion on investment in say vice president jarosaw wrbel in a press release,3
3873,grupa loto currently implement investment project different scale and size we will spend about pln billion on they this year jarosaw wrbel vice president of the board of the lotos group for investment and innovation say in gdask,2
3874,due to the ongoing process of capital acquisition by pkn orlen we want to emphasize our good competence regard hydrogen rail logistic offshore and base oil jarosaw wrbel vice president of investment and innovation of the lotos group say during the investment debate in gdask,2
3875,grupa lotos plan to spend about pln billion on investment in say the vice president,3
3878,this whole matter can have much more serious consequence and potentially influence the process of plan merger between orlen and lotos yes jerzy kurella energy expert former tauron s head and pgnig comment on the last event around the onico energia femple funding fund for gecx group fund,2
3879,how many president vice president and member of the supervisory board of state own company earn always arouse emotion a chance to look closely at the remuneration of the lotos group authority give the report report these be not small amount because the remuneration of the group s management board in consume a total of almost pln million in it be less pln million see how much more lotos president and other board member have make,2
3880,we can read another pandemic wave ahead of we we can read in the bm mbank monthly review although not without significance accord to analyst the virus will not stand,1
3881,in the second quarter of the lotos group refinery work with full use of its production capacity at that time the installation of the gdask plant convert million ton of oil and produce million ton of refinery product,2
3882,three separate task team will work on agreement for employee of loto in the course of the merger of pkn orlen such finding be make during the last meeting of representative of the lotos group with trade union member,2
3883,before orlen one of the most difficult stage of the merger with loto a selection of partner for the implementation of remedy indicate by the european commission the key to when consider potential candidate to buy some of the asset do not look only through the purely business prism assess the expert of warsaw enterprise institute in their opinion this decision may influence the future of not only poland but also the entire region,2
3884,lamborghini present on wednesday the last super car with a v engine power only by gas although in the future there will be more lamborghini model with v engine they will be plug in hybrid the italian manufacturer say british lotus have similar plan inform cnn,2
3885,the european commission extend the deadline for the implementation of remedy under,2
3887,the model refine margin of the lotos group in june fall to usd on baryka from,1
3888,the european commission extend the deadline for the implementation of remedy as part of the takeover by pkn orlen lotos group until november orlen inform in a press release,2
3891,in addition to the benefit of the combination of orlen loto and pgnig there be also threat this process will require huge investment and innovation in turn high agility and in the context of the participation of the treasury it be important to separate management policy so that economic and strategic criterion always determine the length of the lotus takeover process may also be a problem this process can be the most difficult horizontal element of the fusion,1
3892,on july the deadline for perform liability impose last year by the european commission on,2
3893,on july the deadline for perform obligation impose last year by the european commission on orlen and loto so that both concern could be fuse currently you can see that this be an impossible term to keep,2
3894,lotos employee representative want the minister of state asset to join the talk,2
3895,representative of employee in loto want the minister of state asset to join the talk trade unionist do not believe in the official assurance of orlen that there will be no group layoff,2
3896,relationship operate in the lotos group claim guarantee for employee of the gdask concern which will soon be take over by pkn orlen they appeal to the minister of state asset jacek sasin to join the conversation,1
3897,grupa lotos despite the fusion process with pkn orlen do not accuse plan investment the concern have just complete an investment option review which it intend to present in mid july several project already start on the priority list in the long run the company focus on alternative fuel include primarily hydrogen which be to allow the diversification of the company s current business model,2
